179|Boxes|Easier way to access dictionary elements|https://github.com/cdgriffith/Box|boxes|dictionaries|python|2021-10-23 10:33:52
180|Pysnooper|Soft Debugging|https://github.com/cool-RR/PySnooper|pysnooper|python|debug|2021-10-23 11:40:13
181|Selenium|Browser Automation Tool|https://www.selenium.dev/documentation/|selenium|browser|automation|2021-10-23 13:34:28
182|Cli Helpers|Cli library about tabular data|https://github.com/dbcli/cli_helpers|cli_helpers|python|tables|2021-10-23 14:56:37
183|Flask Now|Automates folder creation in Flask projects|https://github.com/ozanonurtek/flask-now|flask|flask now|bootstrap|2021-10-24 10:09:10
184|Add search to Hugo static sites with Lunr|Trying to put search in a blog|https://victoria.dev/blog/add-search-to-hugo-static-sites-with-lunr/#full-code-for-searchjs|lunr|search|blog|2021-10-26 08:32:03
185|SQLAlchemy Tutorial|Tutorial sobre sqlalchemy que me parece bom.|https://tinyurl.com/yfby59kn|sqlalchemy|orm|mysql|2021-10-26 12:51:01
186|Pixlet|Apontador de sites de noticias de tech|https://www.pxlet.com|pixlet|news|aggregator|2021-10-27 13:24:27
187|Image Resizer|Online image resizer|https://resizeimage.net|resize|online|image|2021-10-27 21:20:15
188|CSS Linter|Online linter for css|http://csslint.net/#results|css|linter|online|2021-10-27 23:43:25
189|Build a Command-Line To-Do App With Python and Typer|Interesting project|https://realpython.com/python-typer-cli/|todo|python|typer|2021-11-08 16:20:39
190|Lona|Python library for web client side|https://lona-web.org|lona|python|web|2021-11-08 16:36:04
191|Cirrus CSS|Cool CSS framework|https://cirrus-ui.netlify.app|cirrus|css|web|2021-11-09 09:36:09
192|Accessing model fields in Django html template|How to access your db values in the html.|https://tinyurl.com/yfkmkbb7|django|model|template|2021-11-10 17:49:18
193|Upskill|Sessões Formação|https://upskill.pt|upskill|formação|emprego|2021-11-12 18:03:46
194|Django Girls Tutorial|Simple tutorial on Django|https://tutorial.djangogirls.or|django|tutorial|django girls|2021-11-12 18:05:22
195|Setup Django, Gunicorn, Postgres|How to deploy django apps|https://tinyurl.com/yjt2vqcj|django|gunicorn|wsgi|2021-11-13 01:33:38
196|Data Selection in Pandas|When using csv files it's better to manage them with pandas|https://tinyurl.com/yzd3235u|pandas|panda_selection\
|select|2021-11-13 09:07:04
197|Django Query Types|All formats to ask questions to a db in Django|https://tinyurl.com/yzqqq6dp|django|queries|questions|2021-11-14 23:26:27
198|How to Retrieve Data from a Django Form|How to create and get information from a Django form|https://tinyurl.com/yeo2zer7|django|forms|python|2021-11-14 23:27:45
199|SCSS to CSS Converter|Converts to regular CSS|https://jsonformatter.org|css|converter|scss|2021-11-15 05:12:30
200|Buttons CSS|Various css for buttons|https://getcssscan.com/css-buttons-examples|buttons|css|web|2021-11-15 05:29:15
